,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
82,2431.0,2010-11,00,0.0,TOT,31.0,40.0,0.0,373.0,56.0,121.0,0.463,8.0,23.0,0.348,14.0,22.0,0.636,20.0,64.0,84.0,13.0,5.0,9.0,22.0,40.0,134.0
83,101187.0,2016-17,00,1610612746.0,LAC,34.0,30.0,0.0,308.0,30.0,80.0,0.375,14.0,44.0,0.318,12.0,16.0,0.75,3.0,21.0,24.0,11.0,3.0,0.0,7.0,35.0,86.0
84,202079.0,2009-10,00,1610612760.0,OKC,25.0,1.0,0.0,15.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
85,76035.0,1970-71,00,0.0,TOT,26.0,28.0,,198.0,20.0,65.0,0.308,,,,46.0,67.0,0.687,,,48.0,20.0,,,,29.0,86.0
86,76036.0,1975-76,00,1610612757.0,POR,25.0,52.0,,614.0,88.0,181.0,0.486,,,,51.0,61.0,0.836,15.0,47.0,62.0,85.0,20.0,2.0,,58.0,227.0
87,1507.0,2007-08,00,1610612766.0,CHA,33.0,28.0,0.0,396.0,47.0,125.0,0.376,19.0,52.0,0.365,28.0,38.0,0.737,9.0,43.0,52.0,44.0,12.0,1.0,25.0,49.0,141.0
88,76037.0,1982-83,00,1610612743.0,DEN,22.0,5.0,0.0,33.0,7.0,14.0,0.5,0.0,0.0,0.0,7.0,10.0,0.7,0.0,2.0,2.0,3.0,1.0,0.0,5.0,7.0,21.0
89,944.0,1993-94,00,1610612752.0,NYK,24.0,11.0,0.0,39.0,7.0,17.0,0.412,2.0,2.0,1.0,5.0,14.0,0.357,6.0,11.0,17.0,2.0,0.0,1.0,2.0,9.0,21.0
90,246.0,1997-98,00,1610612737.0,ATL,34.0,50.0,0.0,398.0,36.0,81.0,0.444,0.0,5.0,0.0,16.0,41.0,0.39,39.0,79.0,118.0,15.0,19.0,10.0,17.0,85.0,88.0
91,202341.0,2015-16,00,1610612758.0,SAC,27.0,51.0,15.0,721.0,67.0,178.0,0.376,23.0,86.0,0.267,22.0,29.0,0.759,13.0,73.0,86.0,41.0,21.0,14.0,42.0,54.0,179.0
92,76040.0,1976-77,00,1610612754.0,IND,23.0,27.0,,164.0,26.0,59.0,0.441,,,,14.0,20.0,0.7,9.0,3.0,12.0,10.0,6.0,2.0,,26.0,66.0
93,1626147.0,2021-22,00,0.0,TOT,28.0,16.0,6.0,316.0,36.0,95.0,0.379,15.0,59.0,0.254,15.0,19.0,0.789,4.0,42.0,46.0,33.0,8.0,6.0,8.0,22.0,102.0
94,72.0,2004-05,00,0.0,TOT,34.0,43.0,20.0,744.0,85.0,201.0,0.423,6.0,13.0,0.462,27.0,37.0,0.73,24.0,64.0,88.0,103.0,33.0,0.0,49.0,87.0,203.0
95,76041.0,1978-79,00,1610612757.0,POR,24.0,21.0,,224.0,24.0,77.0,0.312,,,,15.0,28.0,0.536,17.0,28.0,45.0,15.0,4.0,5.0,22.0,42.0,63.0
96,203937.0,2023-24,00,1610612750.0,MIN,30.0,60.0,4.0,1320.0,145.0,309.0,0.469,8.0,37.0,0.216,76.0,106.0,0.717,45.0,166.0,211.0,244.0,49.0,32.0,75.0,89.0,374.0
97,76042.0,1988-89,00,1610612759.0,SAN,23.0,36.0,12.0,730.0,73.0,175.0,0.417,1.0,7.0,0.143,57.0,82.0,0.695,44.0,45.0,89.0,153.0,44.0,3.0,84.0,64.0,204.0
98,76043.0,1984-85,00,1610612762.0,UTH,24.0,44.0,0.0,457.0,61.0,149.0,0.409,0.0,2.0,0.0,27.0,45.0,0.6,29.0,53.0,82.0,21.0,29.0,9.0,32.0,70.0,149.0
99,98.0,2001-02,00,1610612763.0,MEM,34.0,15.0,0.0,220.0,21.0,76.0,0.276,13.0,48.0,0.271,5.0,9.0,0.556,1.0,32.0,33.0,14.0,6.0,6.0,14.0,17.0,60.0
100,76045.0,1989-90,00,1610612766.0,CHH,29.0,54.0,2.0,604.0,88.0,211.0,0.417,37.0,100.0,0.37,18.0,23.0,0.783,33.0,94.0,127.0,55.0,20.0,9.0,26.0,64.0,231.0
101,76046.0,1993-94,00,0.0,TOT,35.0,21.0,2.0,356.0,35.0,86.0,0.407,7.0,26.0,0.269,19.0,23.0,0.826,16.0,37.0,53.0,17.0,8.0,3.0,10.0,16.0,96.0
102,201583.0,2019-20,00,1610612745.0,HOU,32.0,2.0,0.0,14.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,1.0,1.0,5.0
103,1000.0,2005-06,00,1610612748.0,MIA,32.0,48.0,1.0,638.0,54.0,126.0,0.429,5.0,19.0,0.263,13.0,18.0,0.722,18.0,63.0,81.0,30.0,17.0,6.0,24.0,75.0,126.0
104,335.0,1996-97,00,1610612748.0,MIA,30.0,28.0,1.0,301.0,29.0,64.0,0.453,8.0,19.0,0.421,17.0,20.0,0.85,15.0,27.0,42.0,34.0,14.0,4.0,19.0,36.0,83.0
105,76048.0,1969-70,00,1610612758.0,CIN,24.0,44.0,,370.0,65.0,166.0,0.392,,,,29.0,46.0,0.63,,,82.0,9.0,,,,47.0,159.0
106,101149.0,2005-06,00,1610612739.0,CLE,20.0,6.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0
107,76049.0,1954-55,00,1610612752.0,NYK,24.0,1.0,,10.0,0.0,4.0,0.0,,,,3.0,4.0,0.75,,,2.0,0.0,,,,0.0,3.0
108,1628387.0,2018-19,00,1610612754.0,IND,20.0,3.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
109,76050.0,1991-92,00,0.0,TOT,25.0,10.0,0.0,45.0,8.0,18.0,0.444,0.0,0.0,0.0,5.0,6.0,0.833,2.0,4.0,6.0,2.0,0.0,0.0,3.0,7.0,21.0
110,1512.0,1999-00,00,1610612741.0,CHI,25.0,73.0,11.0,1007.0,161.0,364.0,0.442,1.0,6.0,0.167,116.0,147.0,0.789,90.0,190.0,280.0,65.0,29.0,25.0,80.0,180.0,439.0
111,203507.0,2023-24,00,1610612749.0,MIL,29.0,59.0,59.0,2060.0,679.0,1097.0,0.619,31.0,103.0,0.301,430.0,651.0,0.661,151.0,514.0,665.0,372.0,75.0,60.0,200.0,172.0,1819.0
112,1628961.0,2020-21,00,1610612747.0,LAL,23.0,15.0,0.0,56.0,3.0,10.0,0.3,0.0,0.0,0.0,6.0,13.0,0.462,4.0,15.0,19.0,1.0,2.0,4.0,11.0,8.0,12.0
113,203648.0,2023-24,00,1610612749.0,MIL,31.0,26.0,0.0,123.0,12.0,24.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,6.0,4.0,10.0,13.0,3.0,4.0,11.0,21.0,24.0
114,2546.0,2021-22,00,1610612747.0,LAL,38.0,69.0,3.0,1793.0,319.0,723.0,0.441,149.0,397.0,0.375,132.0,159.0,0.83,62.0,226.0,288.0,68.0,47.0,52.0,59.0,166.0,919.0
115,1630175.0,2023-24,00,1610612753.0,ORL,23.0,61.0,0.0,1398.0,250.0,578.0,0.433,65.0,201.0,0.323,154.0,185.0,0.832,51.0,193.0,244.0,189.0,52.0,26.0,103.0,152.0,719.0
116,21.0,2001-02,00,0.0,TOT,34.0,60.0,38.0,1513.0,183.0,475.0,0.385,48.0,163.0,0.294,60.0,91.0,0.659,22.0,110.0,132.0,282.0,77.0,5.0,94.0,114.0,474.0
117,201202.0,2016-17,00,1610612759.0,SAS,34.0,19.0,0.0,122.0,10.0,16.0,0.625,0.0,0.0,0.0,5.0,8.0,0.625,8.0,23.0,31.0,3.0,2.0,6.0,4.0,11.0,25.0
118,203544.0,2014-15,00,1610612737.0,ATL,32.0,63.0,3.0,1037.0,108.0,296.0,0.365,52.0,173.0,0.301,88.0,123.0,0.715,58.0,131.0,189.0,49.0,18.0,14.0,49.0,132.0,356.0
119,1628384.0,2023-24,00,0.0,TOT,26.0,41.0,41.0,1401.0,238.0,478.0,0.498,86.0,227.0,0.379,65.0,84.0,0.774,39.0,132.0,171.0,93.0,53.0,28.0,62.0,96.0,627.0
120,203951.0,2015-16,00,1610612753.0,ORL,24.0,5.0,0.0,27.0,2.0,8.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,6.0
121,2737.0,2006-07,00,1610612762.0,UTA,26.0,28.0,0.0,248.0,27.0,65.0,0.415,0.0,0.0,0.0,18.0,29.0,0.621,22.0,44.0,66.0,10.0,6.0,2.0,17.0,39.0,72.0
